"","Month","Hours watched (hours)","Average viewers","Peak viewers","Average channels","Peak channels","Hours streamed (hours)","Games streamed","Active affiliates","Active partners"
"1","May 2022","113644504500","2549226","5235525","88227","131999","3933191820","42653","983471","35335"
"2","April 2022","112187657280","2600548","5033040","94164","140048","4062253740","42107","998125","35438"
"3","March 2022","116073008220","2603701","4815581","97461","144086","4344850800","41071","1015804","35453"
"4","February 2022","119008627800","2956001","5455266","103548","145473","4168873980","40713","1034208","35300"
"5","January 2022","129746817660","2910426","5674002","102254","142590","4558511940","41348","1060139","34922"
"6","December 2021","112344039660","2520054","5014457","90731","211862","4044808680","35577","964734","34188"
"7","November 2021","108727049040","2520330","5969595","90774","144557","3915996360","35043","949967","34217"
"8","October 2021","121211877180","2718974","6170643","91858","141453","4095032760","36406","961760","34303"
"9","September 2021","111450871860","2583469","5630216","95513","207789","4120457520","35861","980194","34054"
"10","August 2021","118475176500","2657585","4778502","100701","191286","4489258920","36471","995101","33593"